time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447599631	9.4339	-9.06487	-2.77838	1.97572	-0.134412	lidar	0.523744	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
1477010447649652	9.4339	-9.06487	-2.77838	1.97572	-0.134412	radar	0	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
1477010447699673	9.54056	-9.33014	-2.7948	1.95801	-0.139011	lidar	0.0312298	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
1477010447749669	9.54056	-9.33014	-2.7948	1.95801	-0.139011	radar	0	9.47534	-9.42627	9.55	-9.5	0	-3.00023
1477010447799666	9.60835	-9.61001	-2.8027	1.91063	-0.176077	lidar	0.366099	9.54779	-9.64959	9.55	-9.65	0	-3.0002
1477010447849716	9.60835	-9.61001	-2.8027	1.91063	-0.176077	radar	0	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
1477010447899766	9.67893	-9.89416	-2.82183	1.8715	-0.19984	lidar	0.184209	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
1477010447954720	9.67893	-9.89416	-2.82183	1.8715	-0.19984	radar	0	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
1477010448009675	9.75742	-10.1742	-2.7889	1.8469	-0.202952	lidar	0.102318	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
1477010448059664	9.75742	-10.1742	-2.7889	1.8469	-0.202952	radar	0	9.92627	-10.4745	9.75	-10.3	0	-3.00065
1477010448109654	9.80243	-10.4532	-2.79154	1.80241	-0.229703	lidar	0.185306	9.75524	-10.4732	9.75	-10.45	0	-3.00063
1477010448164710	9.80243	-10.4532	-2.79154	1.80241	-0.229703	radar	0	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451
1477010448219767	9.862	-10.7523	-2.7889	1.77174	-0.235651	lidar	0.00941216	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448
1477010448274697	9.862	-10.7523	-2.7889	1.77174	-0.235651	radar	0	9.88465	-10.9383	9.85	-10.9	0	-2.73074
1477010448329628	9.88792	-11.0495	-2.77024	1.72245	-0.261513	lidar	0.19466	9.83614	-11.041	9.85	-11.05	0	-2.73073
1477010448379634	9.88792	-11.0495	-2.77024	1.72245	-0.261513	radar	0	9.83952	-11.1692	9.85	-11.2	0	-2.99965
1477010448429641	9.89604	-11.3321	-2.77515	1.67128	-0.289087	lidar	0.200813	9.84568	-11.3496	9.85	-11.35	0	-2.99961
1477010448479667	9.89604	-11.3321	-2.77515	1.67128	-0.289087	radar	0	9.87961	-11.5637	9.85	-11.5	0	-2.99843
1477010448529693	9.88759	-11.6156	-2.77916	1.61582	-0.318443	lidar	0.232158	9.83206	-11.6307	9.85	-11.65	0	-2.99843
1477010448579678	9.88759	-11.6156	-2.77916	1.61582	-0.318443	radar	0	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061
1477010448629664	9.843	-11.8781	-2.74125	1.54367	-0.363511	lidar	0.681452	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059
1477010448679644	9.843	-11.8781	-2.74125	1.54367	-0.363511	radar	0	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119
1477010448729625	9.76697	-12.151	-2.73282	1.45597	-0.420735	lidar	0.892919	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116
1477010448779630	9.76697	-12.151	-2.73282	1.45597	-0.420735	radar	0	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981
1477010448829636	9.66525	-12.3984	-2.69073	1.36147	-0.479549	lidar	1.10451	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979
1477010448879685	9.66525	-12.3984	-2.69073	1.36147	-0.479549	radar	0	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805
1477010448929734	9.51691	-12.6252	-2.63836	1.24121	-0.560521	lidar	2.04481	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804
1477010448984693	9.51691	-12.6252	-2.63836	1.24121	-0.560521	radar	0	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953
1477010449039652	9.34442	-12.8519	-2.58064	1.1164	-0.631281	lidar	1.59915	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954
1477010449089745	9.34442	-12.8519	-2.58064	1.1164	-0.631281	radar	0	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629
1477010449139839	9.08875	-13.0357	-2.5664	0.934323	-0.762196	lidar	4.67785	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627
1477010449194745	9.08875	-13.0357	-2.5664	0.934323	-0.762196	radar	0	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651
1477010449249651	8.82249	-13.1834	-2.51003	0.757445	-0.865556	lidar	3.07478	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651
1477010449299701	8.82249	-13.1834	-2.51003	0.757445	-0.865556	radar	0	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005
1477010449349751	8.53759	-13.282	-2.49674	0.57139	-0.974432	lidar	3.28194	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995
1477010449404748	8.53759	-13.282	-2.49674	0.57139	-0.974432	radar	0	8.22926	-13.1698	8.2	-13.15	-2.72741	0
1477010449459745	8.20732	-13.3261	-2.47913	0.350836	-1.09839	lidar	4.08129	8.03583	-13.1513	8.05	-13.15	-2.72742	0
1477010449514693	8.20732	-13.3261	-2.47913	0.350836	-1.09839	radar	0	7.82914	-13.0525	7.9	-13.15	-2.72986	0
1477010449569641	7.88394	-13.3211	-2.47508	0.137333	-1.19916	lidar	2.62228	7.76538	-13.1647	7.75	-13.15	-2.72986	0
1477010449619676	7.88394	-13.3211	-2.47508	0.137333	-1.19916	radar	0	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304
1477010449669711	7.5782	-13.3076	-2.54751	-0.035501	-1.25331	lidar	1.32469	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304
1477010449724687	7.5782	-13.3076	-2.54751	-0.035501	-1.25331	radar	0	7.21108	-13.0985	7.3	-13.25	-2.72846	0
1477010449779664	7.25781	-13.2629	-2.61976	-0.19971	-1.27887	lidar	0.658414	7.16011	-13.2382	7.15	-13.25	-2.72844	0
1477010449829700	7.25781	-13.2629	-2.61976	-0.19971	-1.27887	radar	0	6.88472	-12.9588	7	-13.2	-2.99784	0.999284
1477010449879736	6.95914	-13.1781	-2.70736	-0.349385	-1.29886	lidar	0.830261	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284
1477010449934724	6.95914	-13.1781	-2.70736	-0.349385	-1.29886	radar	0	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275
1477010449989712	6.64927	-13.0616	-2.78475	-0.48718	-1.29062	lidar	0.539613	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284
1477010450044722	6.64927	-13.0616	-2.78475	-0.48718	-1.29062	radar	0	6.40137	-13.0799	6.4	-13.05	-2.72678	0
1477010450099732	6.34856	-12.959	-2.83919	-0.57085	-1.22635	lidar	1.14126	6.26174	-13.0534	6.25	-13.05	-2.72678	0
1477010450154684	6.34856	-12.959	-2.83919	-0.57085	-1.22635	radar	0	6.10143	-13.0076	6.1	-13	-2.72966	0.909888
1477010450209637	6.04455	-12.8438	-2.88966	-0.633633	-1.14816	lidar	1.54016	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988
1477010450259674	6.04455	-12.8438	-2.88966	-0.633633	-1.14816	radar	0	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851
1477010450309711	5.76499	-12.6933	-2.96026	-0.703256	-1.09833	lidar	1.01699	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852
1477010450364717	5.76499	-12.6933	-2.96026	-0.703256	-1.09833	radar	0	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995
1477010450419723	5.49391	-12.5402	-2.9472	-0.759237	-1.0288	lidar	1.13643	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995
1477010450474743	5.49391	-12.5402	-2.9472	-0.759237	-1.0288	radar	0	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753
1477010450529764	5.2181	-12.3705	-2.95464	-0.805232	-0.955997	lidar	1.26224	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175
1477010450584712	5.2181	-12.3705	-2.95464	-0.805232	-0.955997	radar	0	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989
1477010450639660	4.97554	-12.1743	-2.93951	-0.865972	-0.907767	lidar	0.572342	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199
1477010450689678	4.97554	-12.1743	-2.93951	-0.865972	-0.907767	radar	0	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929
1477010450739696	4.77954	-11.9879	-2.90328	-0.922561	-0.870284	lidar	0.465794	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928
1477010450794748	4.77954	-11.9879	-2.90328	-0.922561	-0.870284	radar	0	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471
1477010450849800	4.61488	-11.7307	-2.87788	-1.024	-0.876772	lidar	0.0674086	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247
1477010450904754	4.61488	-11.7307	-2.87788	-1.024	-0.876772	radar	0	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971
1477010450959709	4.49159	-11.4924	-2.79232	-1.11828	-0.875395	lidar	0.624396	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969
1477010451009669	4.49159	-11.4924	-2.79232	-1.11828	-0.875395	radar	0	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032
1477010451059629	4.40442	-11.2066	-2.81691	-1.2345	-0.90748	lidar	0.318525	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321
1477010451114691	4.40442	-11.2066	-2.81691	-1.2345	-0.90748	radar	0	4.43713	-11.024	4.45	-11.05	0	1.81614
1477010451169754	4.36506	-10.9139	-2.77111	-1.36644	-0.944503	lidar	0.52787	4.45136	-10.93	4.45	-10.95	0	1.81612
1477010451224789	4.36506	-10.9139	-2.77111	-1.36644	-0.944503	radar	0	4.44745	-10.786	4.45	-10.8	0	2.72555
1477010451279824	4.36914	-10.6216	-2.72453	-1.50528	-0.984872	lidar	0.581241	4.45788	-10.6457	4.45	-10.65	0	2.72554
1477010451334789	4.36914	-10.6216	-2.72453	-1.50528	-0.984872	radar	0	4.46329	-10.5756	4.45	-10.5	0	2.729
1477010451389755	4.39315	-10.3274	-2.70554	-1.63423	-1.00858	lidar	0.164446	4.44057	-10.3382	4.45	-10.35	0	2.72898
1477010451444763	4.39315	-10.3274	-2.70554	-1.63423	-1.00858	radar	0	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687
1477010451499772	4.47311	-10.0358	-2.69059	-1.78145	-1.04951	lidar	0.412961	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685
1477010451554732	4.47311	-10.0358	-2.69059	-1.78145	-1.04951	radar	0	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927
1477010451609692	4.58327	-9.75131	-2.6927	-1.92363	-1.07929	lidar	0.208807	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926
1477010451664722	4.58327	-9.75131	-2.6927	-1.92363	-1.07929	radar	0	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578
1477010451719753	4.71778	-9.47512	-2.70869	-2.05555	-1.09337	lidar	0.0686933	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576
1477010451774708	4.71778	-9.47512	-2.70869	-2.05555	-1.09337	radar	0	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952
1477010451829663	4.89878	-9.19613	-2.7696	-2.19291	-1.1106	lidar	0.384019	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951
1477010451879669	4.89878	-9.19613	-2.7696	-2.19291	-1.1106	radar	0	4.95209	-8.96272	5	-9.05	0.999884	1.99977
1477010451929676	5.05995	-8.97091	-2.77987	-2.29169	-1.09673	lidar	0.0550811	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974
1477010451984680	5.05995	-8.97091	-2.77987	-2.29169	-1.09673	radar	0	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708
1477010452039685	5.26914	-8.7156	-2.83952	-2.39285	-1.07365	lidar	0.424764	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705
1477010452089696	5.26914	-8.7156	-2.83952	-2.39285	-1.07365	radar	0	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957
1477010452139708	5.46981	-8.49815	-2.87678	-2.47169	-1.04124	lidar	0.373109	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954
1477010452194711	5.46981	-8.49815	-2.87678	-2.47169	-1.04124	radar	0	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807
1477010452249714	5.65834	-8.28573	-2.83243	-2.52643	-0.976307	lidar	1.14147	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808
1477010452304738	5.65834	-8.28573	-2.83243	-2.52643	-0.976307	radar	0	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608
